TimeStep,SigmaXX,SigmaYY,SigmaZZ,StrainZZ,CoordinationNumber
1,100100,100100,100577,3.32016e-07,10.3333
2,100084,100084,102122,7.08559e-07,10.3333
3,100079,100079,103599,1.05752e-06,10.3333
4,100070,100070,105147,1.41531e-06,10.3333
5,100052,100052,106696,1.75984e-06,10.3333
6,100027,100027,108495,2.13189e-06,10.3333
7,100023,100023,109962,2.42933e-06,10.3333
8,100021,100021,111444,2.72527e-06,10.3333
9,100023,100023,112931,3.0225e-06,10.3333
10,100031,100031,114371,3.31523e-06,10.3333
11,100026,100026,115895,3.61978e-06,10.3333
12,100029,100029,117293,3.90435e-06,10.3333
13,100035,100035,118756,4.20507e-06,10.3333
14,100040,100040,120292,4.52908e-06,10.3333
15,100055,100055,121617,4.81676e-06,10.3333
16,100084,100084,122864,5.10252e-06,10.3333
17,100096,100096,124375,5.46593e-06,10.3333
18,100102,100102,125864,5.83886e-06,10.3333
19,100090,100090,127549,6.26518e-06,10.3333
20,100121,100121,128734,6.57146e-06,10.3333
21,100132,100132,130222,6.97062e-06,10.3333
22,100137,100137,131708,7.37628e-06,10.3333
23,100147,100147,133174,7.79438e-06,10.3333
24,100153,100153,134639,8.21467e-06,10.3333
25,100159,100159,136113,8.64909e-06,10.3333
26,100163,100163,137587,9.09093e-06,10.3333
27,100166,100166,139070,9.53607e-06,10.3333
28,100167,100167,140556,9.9832e-06,10.3333
29,100167,100167,142050,1.04334e-05,10.3333
30,100168,100168,143541,1.08829e-05,10.3333
31,100156,100156,145189,1.13814e-05,10.3333
32,100161,100161,146588,1.18039e-05,10.3333
33,100166,100166,148042,1.22434e-05,10.3333
34,100168,100168,149518,1.26899e-05,10.3333
35,100169,100169,151005,1.31399e-05,10.3333
36,100169,100169,152506,1.35952e-05,10.3333
37,100168,100168,154006,1.40503e-05,10.3333
38,100168,100168,155502,1.45041e-05,10.3333
39,100168,100168,156996,1.49576e-05,10.3333
40,100168,100168,158491,1.54115e-05,10.3333
41,100168,100168,159985,1.58651e-05,10.3333
42,100168,100168,161481,1.63193e-05,10.3333
43,100168,100168,162976,1.67737e-05,10.3333
44,100168,100168,164471,1.72278e-05,10.3333
45,100168,100168,165964,1.76818e-05,10.3333
46,100168,100168,167456,1.81352e-05,10.3333
47,100168,100168,168950,1.85895e-05,10.3333
48,100188,100188,170255,1.89837e-05,10.3333
49,100186,100186,171806,1.94549e-05,10.3333
50,100180,100180,173341,1.99229e-05,10.3333
51,100180,100180,174832,2.03766e-05,10.3333
52,100181,100181,176321,2.08295e-05,10.3333
53,100181,100181,177811,2.12832e-05,10.3333
54,100182,100182,179303,2.17374e-05,10.3333
55,100182,100182,180798,2.21923e-05,10.3333
56,100182,100182,182291,2.26471e-05,10.3333
57,100182,100182,183785,2.31019e-05,10.3333
58,100182,100182,185278,2.35566e-05,10.3333
59,100182,100182,186773,2.40119e-05,10.3333
60,100196,100196,188117,2.44194e-05,10.3333
61,100191,100191,189705,2.49037e-05,10.3333
62,100201,100201,191076,2.53202e-05,10.3333
63,100193,100193,192678,2.58091e-05,10.3333
64,100204,100204,194041,2.62229e-05,10.3333
65,100194,100194,195658,2.67169e-05,10.3333
66,100205,100205,197022,2.7131e-05,10.3333
67,100194,100194,198646,2.76272e-05,10.3333
68,100204,100204,200011,2.80419e-05,10.3333
69,100194,100194,201631,2.85371e-05,10.3333
70,100205,100205,202994,2.89512e-05,10.3333
71,100215,100215,204414,2.93821e-05,10.3333
72,100199,100199,206080,2.98922e-05,10.3333
73,100207,100207,207463,3.0313e-05,10.3333
74,100197,100197,209070,3.0804e-05,10.3333
75,100207,100207,210447,3.12227e-05,10.3333
76,100197,100197,212059,3.17154e-05,10.3333
77,100215,100215,213427,3.21353e-05,10.2593
78,100211,100211,214988,3.26187e-05,10.2593
79,100207,100207,216517,3.30928e-05,10.2593
80,100213,100213,218049,3.35737e-05,10.1852
81,100214,100214,219550,3.40495e-05,10.1852
82,100234,100234,220848,3.4457e-05,10.1852
83,100228,100228,222450,3.49662e-05,10.1852
84,100241,100241,223894,3.54322e-05,10.1111
85,100263,100263,225226,3.58588e-05,10.1111
86,100312,100312,226636,3.63256e-05,9.74074
87,100349,100349,228010,3.68e-05,9.74074
88,100344,100344,229619,3.73677e-05,9.74074
89,100359,100359,230980,3.78434e-05,9.74074
90,100371,100371,232531,3.83999e-05,9.51852
91,100431,100431,233858,3.88943e-05,9.2963
92,100455,100455,235405,3.95005e-05,9.22222
93,100480,100480,236936,4.01249e-05,9.11111
94,100511,100511,238324,4.07063e-05,8.96296
95,100623,100623,239537,4.12483e-05,8.81481
96,100746,100746,241015,4.19857e-05,8.51852
97,100863,100863,242752,4.3374e-05,8.25926
98,100898,100898,244230,4.48153e-05,8.18519
99,100981,100981,245735,4.7051e-05,7.85185
100,101134,101134,247015,6.57187e-05,7.55556
