TimeStep,SigmaXX,SigmaYY,SigmaZZ,StrainZZ,CoordinationNumber
1,100018,100018,104663,9.11896e-07,10.3333
2,100003,100003,109992,1.90601e-06,10.3333
3,100004,100004,115141,2.83712e-06,10.3333
4,100001,100001,120294,3.75969e-06,10.3333
5,100000,100000,125321,4.6587e-06,10.3333
6,100001,100001,130437,5.57034e-06,10.3333
7,100001,100001,135667,6.50222e-06,10.3333
8,100001,100001,140789,7.4127e-06,10.3333
9,100001,100001,145907,8.32188e-06,10.3333
10,100001,100001,151027,9.23059e-06,10.3333
11,100001,100001,156146,1.01389e-05,10.3333
12,100001,100001,161266,1.1047e-05,10.3333
13,100001,100001,166386,1.19549e-05,10.3333
14,100001,100001,171505,1.28626e-05,10.3333
15,100001,100001,176624,1.37702e-05,10.3333
16,100001,100001,181740,1.46739e-05,10.3333
17,100001,100001,186862,1.55851e-05,10.3333
18,100001,100001,191752,1.64524e-05,10.3333
19,100001,100001,196844,1.73557e-05,10.3333
20,100001,100001,201964,1.82629e-05,10.3333
21,100001,100001,207084,1.91702e-05,10.3333
22,100001,100001,212204,2.00774e-05,10.3333
23,100001,100001,217325,2.09849e-05,10.3333
24,100001,100001,222515,2.19012e-05,10.3333
25,100001,100001,227641,2.28096e-05,10.3333
26,100001,100001,232762,2.37174e-05,10.3333
27,100001,100001,237883,2.46262e-05,10.3333
28,100002,100002,242895,2.55147e-05,10.3333
29,100002,100002,247846,2.63965e-05,10.3333
30,100002,100002,253222,2.73478e-05,10.3333
31,100002,100002,258094,2.82147e-05,10.3333
32,100002,100002,263436,2.91594e-05,10.3333
33,100002,100002,268578,3.00711e-05,10.3333
34,100002,100002,273696,3.09799e-05,10.3333
35,100004,100004,278740,3.18815e-05,10.3333
36,100009,100009,283517,3.27494e-05,10.3333
37,100014,100014,288570,3.36736e-05,10.3333
38,100016,100016,293612,3.46004e-05,10.3333
39,100054,100054,298138,3.54722e-05,10.3333
40,100069,100069,303594,3.658e-05,10.3333
41,100093,100093,308403,3.75858e-05,10.3333
42,100105,100105,313449,3.86635e-05,10.3333
43,100139,100139,318442,3.97721e-05,10.3333
44,100149,100149,323504,4.0917e-05,10.3333
45,100149,100149,328679,4.2096e-05,10.3333
46,100151,100151,333769,4.32577e-05,10.3333
47,100155,100155,338842,4.44158e-05,10.3333
48,100157,100157,343948,4.55831e-05,10.3333
49,100159,100159,349055,4.67505e-05,10.3333
50,100160,100160,354172,4.79205e-05,10.3333
51,100160,100160,359290,4.90913e-05,10.3333
52,100161,100161,364407,5.02616e-05,10.3333
53,100162,100162,369523,5.14319e-05,10.3333
54,100157,100157,374674,5.26142e-05,10.3333
55,100181,100181,379468,5.37079e-05,10.3333
56,100193,100193,384480,5.48538e-05,10.3333
57,100196,100196,389566,5.60189e-05,10.3333
58,100175,100175,394995,5.72664e-05,10.3333
59,100188,100188,399896,5.8389e-05,10.3333
60,100172,100172,405262,5.96216e-05,10.3333
61,100187,100187,410147,6.07404e-05,10.3333
62,100171,100171,415510,6.19725e-05,10.3333
63,100187,100187,420386,6.30887e-05,10.3333
64,100171,100171,425752,6.43219e-05,10.3333
65,100191,100191,430606,6.54308e-05,10.3333
66,100182,100182,435928,6.66526e-05,10.3333
67,100195,100195,440819,6.77753e-05,10.3333
68,100183,100183,446161,6.90037e-05,10.3333
69,100172,100172,451377,7.02054e-05,10.3333
70,100171,100171,456514,7.13855e-05,10.3333
71,100173,100173,461621,7.25579e-05,10.3333
72,100171,100171,466756,7.37392e-05,10.3333
73,100176,100176,471710,7.48818e-05,10.3333
74,100182,100182,476776,7.6045e-05,10.3333
75,100178,100178,482044,7.72516e-05,10.3333
76,100175,100175,487207,7.84388e-05,10.3333
77,100191,100191,492060,7.95535e-05,10.3333
78,100185,100185,497218,8.07441e-05,10.3333
79,100184,100184,502384,8.19302e-05,10.3333
80,100180,100180,507630,8.31336e-05,10.3333
81,100178,100178,512680,8.42989e-05,10.3333
82,100178,100178,517889,8.5493e-05,10.3333
83,100177,100177,522924,8.66549e-05,10.3333
84,100201,100201,527798,8.77674e-05,10.3333
85,100211,100211,532896,8.89442e-05,10.2593
86,100219,100219,537920,9.01074e-05,10.2593
87,100248,100248,543040,9.13083e-05,10.1111
88,100269,100269,548078,9.25068e-05,10.037
89,100288,100288,553136,9.37244e-05,10.037
90,100319,100319,557812,9.48497e-05,10.037
91,100359,100359,563176,9.61714e-05,9.74074
92,100399,100399,567882,9.73446e-05,9.74074
93,100406,100406,573197,9.86864e-05,9.59259
94,100485,100485,577889,9.98863e-05,9.2963
95,100551,100551,582827,0.00010118,9.2963
96,100541,100541,588386,0.000102675,9.25926
97,100655,100655,593224,0.00010401,8.88889
98,100744,100744,598531,0.000105605,8.74074
99,101002,101002,604554,0.000108204,7.74074
100,101584,101584,608745,0.000128865,7.55556
