TimeStep,SigmaXX,SigmaYY,SigmaZZ,StrainZZ,CoordinationNumber
1,100020,100020,103348,6.68898e-07,10.3333
2,100016,100016,107184,1.41087e-06,10.3333
3,100004,100004,111047,2.12644e-06,10.3333
4,100002,100002,114710,2.79545e-06,10.3333
5,100003,100003,118574,3.48905e-06,10.3333
6,100001,100001,122296,4.15932e-06,10.3333
7,100002,100002,126060,4.83451e-06,10.3333
8,100002,100002,129822,5.50631e-06,10.3333
9,100001,100001,133583,6.17681e-06,10.3333
10,100002,100002,137320,6.83924e-06,10.3333
11,100002,100002,141047,7.50547e-06,10.3333
12,100001,100001,144791,8.16874e-06,10.3333
13,100001,100001,148562,8.84107e-06,10.3333
14,100002,100002,152294,9.50031e-06,10.3333
15,100001,100001,156072,1.01749e-05,10.3333
16,100002,100002,159810,1.08347e-05,10.3333
17,100001,100001,163591,1.15054e-05,10.3333
18,100001,100001,167359,1.21774e-05,10.3333
19,100001,100001,171056,1.28329e-05,10.3333
20,100001,100001,174928,1.35174e-05,10.3333
21,100001,100001,178576,1.41679e-05,10.3333
22,100001,100001,182428,1.48481e-05,10.3333
23,100001,100001,186157,1.55137e-05,10.3333
24,100001,100001,189763,1.61531e-05,10.3333
25,100001,100001,193511,1.68179e-05,10.3333
26,100001,100001,197269,1.7485e-05,10.3333
27,100001,100001,201027,1.8152e-05,10.3333
28,100001,100001,204785,1.88191e-05,10.3333
29,100001,100001,208543,1.94861e-05,10.3333
30,100002,100002,212272,2.01467e-05,10.3333
31,100004,100004,216049,2.08258e-05,10.3333
32,100006,100006,219666,2.14768e-05,10.3333
33,100009,100009,223249,2.21339e-05,10.3333
34,100018,100018,227033,2.28332e-05,10.3333
35,100037,100037,230463,2.3485e-05,10.3333
36,100069,100069,234157,2.42417e-05,10.3333
37,100097,100097,237669,2.49928e-05,10.3333
38,100099,100099,241557,2.585e-05,10.3333
39,100128,100128,245076,2.66399e-05,10.3333
40,100146,100146,248910,2.75463e-05,10.3333
41,100145,100145,252695,2.84583e-05,10.3333
42,100145,100145,256454,2.93662e-05,10.3333
43,100165,100165,259999,3.02257e-05,10.3333
44,100181,100181,263633,3.11045e-05,10.3333
45,100186,100186,267354,3.20079e-05,10.3333
46,100188,100188,271101,3.29192e-05,10.3333
47,100188,100188,274859,3.38333e-05,10.3333
48,100188,100188,278620,3.47486e-05,10.3333
49,100188,100188,282380,3.56635e-05,10.3333
50,100188,100188,286139,3.65784e-05,10.3333
51,100166,100166,290156,3.75599e-05,10.3333
52,100198,100198,293421,3.83507e-05,10.3333
53,100165,100165,297694,3.93979e-05,10.3333
54,100194,100194,300972,4.0193e-05,10.3333
55,100191,100191,304894,4.11487e-05,10.3333
56,100191,100191,308679,4.20707e-05,10.3333
57,100193,100193,312434,4.29854e-05,10.3333
58,100193,100193,316197,4.39036e-05,10.3333
59,100194,100194,319955,4.48205e-05,10.3333
60,100193,100193,323720,4.57395e-05,10.3333
61,100194,100194,327478,4.66567e-05,10.3333
62,100194,100194,331238,4.75742e-05,10.3333
63,100194,100194,335000,4.84927e-05,10.3333
64,100172,100172,339014,4.94764e-05,10.3333
65,100182,100182,342613,5.03547e-05,10.3333
66,100176,100176,346431,5.12915e-05,10.3333
67,100172,100172,350294,5.2234e-05,10.3333
68,100185,100185,353885,5.311e-05,10.3333
69,100176,100176,357712,5.40502e-05,10.3333
70,100207,100207,361045,5.48582e-05,10.3333
71,100202,100202,364999,5.58265e-05,10.3333
72,100182,100182,368952,5.67979e-05,10.3333
73,100210,100210,372308,5.76125e-05,10.3333
74,100203,100203,376275,5.85847e-05,10.3333
75,100183,100183,380232,5.95575e-05,10.3333
76,100212,100212,383563,6.03647e-05,10.3333
77,100206,100206,387544,6.13407e-05,10.3333
78,100223,100223,391002,6.2183e-05,10.3333
79,100209,100209,395035,6.3173e-05,10.3333
80,100205,100205,398843,6.41045e-05,10.3333
81,100203,100203,402619,6.50288e-05,10.3333
82,100220,100220,406059,6.58689e-05,10.3333
83,100211,100211,410063,6.68502e-05,10.3333
84,100255,100255,413186,6.76112e-05,10.2593
85,100203,100203,417770,6.87531e-05,10.2593
86,100238,100238,421072,6.95696e-05,10.1111
87,100254,100254,425060,7.05809e-05,10.1111
88,100288,100288,428419,7.14397e-05,10.037
89,100315,100315,432064,7.23771e-05,10.037
90,100351,100351,435747,7.33366e-05,9.74074
91,100369,100369,439723,7.44123e-05,9.74074
92,100364,100364,443548,7.54538e-05,9.74074
93,100405,100405,447014,7.63957e-05,9.59259
94,100486,100486,450633,7.74165e-05,9.2963
95,100455,100455,454818,7.86522e-05,9.2963
96,100517,100517,458180,7.96302e-05,8.88889
97,100632,100632,462170,8.0923e-05,8.74074
98,100791,100791,465645,8.21311e-05,8.40741
99,101033,101033,469956,8.46472e-05,7.7037
100,101467,101467,472989,0.000106531,7.55556
