TimeStep,SigmaXX,SigmaYY,SigmaZZ,StrainZZ,CoordinationNumber
1,100070,100070,101322,4.10853e-07,10.3333
2,100071,100071,103300,8.65577e-07,10.3333
3,100057,100057,105527,1.36605e-06,10.3333
4,100027,100027,107804,1.84106e-06,10.3333
5,100018,100018,109930,2.2589e-06,10.3333
6,100019,100019,111918,2.64095e-06,10.3333
7,100007,100007,114094,3.05225e-06,10.3333
8,100008,100008,116181,3.44537e-06,10.3333
9,100006,100006,118170,3.81287e-06,10.3333
10,100004,100004,120288,4.20374e-06,10.3333
11,100004,100004,122202,4.5547e-06,10.3333
12,100009,100009,124259,4.93277e-06,10.3333
13,100007,100007,126325,5.30748e-06,10.3333
14,100006,100006,128387,5.68075e-06,10.3333
15,100006,100006,130447,6.05309e-06,10.3333
16,100006,100006,132502,6.42633e-06,10.3333
17,100007,100007,134557,6.80169e-06,10.3333
18,100007,100007,136617,7.17762e-06,10.3333
19,100007,100007,138673,7.55416e-06,10.3333
20,100009,100009,140705,7.92777e-06,10.3333
21,100013,100013,142635,8.28777e-06,10.3333
22,100021,100021,144647,8.66949e-06,10.3333
23,100023,100023,146586,9.04547e-06,10.3333
24,100038,100038,148505,9.42412e-06,10.3333
25,100053,100053,150655,9.87103e-06,10.3333
26,100079,100079,152508,1.02912e-05,10.3333
27,100086,100086,154629,1.07815e-05,10.3333
28,100101,100101,156643,1.12573e-05,10.3333
29,100122,100122,158499,1.17152e-05,10.3333
30,100134,100134,160483,1.22162e-05,10.3333
31,100138,100138,162667,1.27892e-05,10.3333
32,100162,100162,164514,1.32884e-05,10.3333
33,100178,100178,166486,1.38347e-05,10.3333
34,100170,100170,168703,1.44517e-05,10.3333
35,100176,100176,170636,1.49903e-05,10.3333
36,100169,100169,172837,1.56041e-05,10.3333
37,100163,100163,174942,1.6192e-05,10.3333
38,100172,100172,176852,1.67253e-05,10.3333
39,100167,100167,179032,1.73341e-05,10.3333
40,100162,100162,181132,1.79218e-05,10.3333
41,100178,100178,182992,1.84394e-05,10.3333
42,100170,100170,185196,1.90578e-05,10.3333
43,100163,100163,187307,1.96498e-05,10.3333
44,100178,100178,189174,2.01703e-05,10.3333
45,100188,100188,191152,2.0723e-05,10.3333
46,100174,100174,193405,2.13563e-05,10.3333
47,100167,100167,195525,2.19512e-05,10.3333
48,100180,100180,197407,2.24769e-05,10.3333
49,100172,100172,199607,2.30954e-05,10.3333
50,100182,100182,201513,2.36286e-05,10.3333
51,100173,100173,203722,2.42496e-05,10.3333
52,100183,100183,205630,2.47839e-05,10.3333
53,100188,100188,207639,2.5348e-05,10.3333
54,100191,100191,209676,2.592e-05,10.3333
55,100192,100192,211728,2.64964e-05,10.3333
56,100193,100193,213786,2.70748e-05,10.3333
57,100193,100193,215848,2.76542e-05,10.3333
58,100193,100193,217908,2.82333e-05,10.3333
59,100193,100193,219970,2.88131e-05,10.3333
60,100192,100192,222033,2.93933e-05,10.3333
61,100192,100192,224095,2.99729e-05,10.3333
62,100192,100192,226157,3.0553e-05,10.3333
63,100192,100192,228218,3.11326e-05,10.3333
64,100192,100192,230279,3.17121e-05,10.3333
65,100192,100192,232339,3.22915e-05,10.3333
66,100192,100192,234401,3.28716e-05,10.3333
67,100192,100192,236464,3.34521e-05,10.3333
68,100192,100192,238523,3.40314e-05,10.3333
69,100195,100195,240560,3.46037e-05,10.3333
70,100197,100197,242603,3.51778e-05,10.3333
71,100199,100199,244653,3.57542e-05,10.3333
72,100200,100200,246708,3.63325e-05,10.3333
73,100222,100222,248524,3.68406e-05,10.3333
74,100217,100217,250694,3.74514e-05,10.3333
75,100208,100208,252823,3.80525e-05,10.3333
76,100227,100227,254676,3.85714e-05,10.3333
77,100218,100218,256868,3.91893e-05,10.3333
78,100233,100233,258749,3.97167e-05,10.3333
79,100222,100222,260963,4.03415e-05,10.3333
80,100236,100236,262865,4.0876e-05,10.2593
81,100231,100231,265055,4.15007e-05,10.2593
82,100226,100226,267136,4.20953e-05,10.2593
83,100239,100239,269158,4.26765e-05,10.1852
84,100246,100246,271234,4.32792e-05,10.1852
85,100259,100259,273286,4.38824e-05,10.1111
86,100264,100264,275338,4.44914e-05,10.1111
87,100272,100272,277405,4.51101e-05,10.037
88,100335,100335,279220,4.56645e-05,9.74074
89,100354,100354,281324,4.63353e-05,9.74074
90,100353,100353,283433,4.70131e-05,9.74074
91,100349,100349,285516,4.76841e-05,9.74074
92,100427,100427,287265,4.82584e-05,9.2963
93,100466,100466,289400,4.89989e-05,9.2963
94,100488,100488,291450,4.97302e-05,9.18519
95,100523,100523,293432,5.0457e-05,8.81481
96,100638,100638,295316,5.12156e-05,8.74074
97,100806,100806,297215,5.20624e-05,8.51852
98,100927,100927,299552,5.3614e-05,8.18519
99,100996,100996,301852,5.69098e-05,7.7037
100,101255,101255,303471,7.78532e-05,7.55556
